연령대분류,교육수준분류,사업농업소득,자본이득소득,연령,금융위험감수,저축여부,급여소득,금융위험회피,교육수준,가구주성별,결혼상태,자녀수,직업분류1,MMMF,CDS,NMMF,STOCKS,RETQLIQ
5,3,0.0,0.0,70,0,3,0.0,0,9,2,2,2,3,0,0,0,0,1
5,3,0.0,0.0,70,0,3,0.0,0,9,2,2,2,3,0,0,0,0,1
5,3,0.0,0.0,70,0,3,0.0,0,9,2,2,2,3,0,0,0,0,1
5,3,0.0,0.0,70,0,3,0.0,0,9,2,2,2,3,0,0,0,0,1
5,3,0.0,0.0,70,0,3,0.0,0,9,2,2,2,3,0,0,0,0,1
3,4,215101.45291,0.0,46,0,3,9836.2975952,0,12,1,2,0,2,0,0,0,0,1
3,4,215101.45291,0.0,46,0,3,9836.2975952,0,12,1,2,0,2,0,0,0,0,1
3,4,215101.45291,0.0,46,0,3,9944.3887776,0,12,1,2,0,2,0,0,0,0,1
3,4,215101.45291,0.0,46,0,3,9836.2975952,0,12,1,2,0,2,0,0,0,0,1
3,4,215101.45291,0.0,46,0,3,9836.2975952,0,12,1,2,0,2,0,0,0,0,1
5,4,853.92034068,41074.649299,68,0,3,0.0,0,14,1,1,0,3,0,0,1,1,1
5,4,853.92034068,45398.296593,68,0,3,0.0,0,14,1,1,0,3,0,0,1,1,1
5,4,853.92034068,50802.855711,68,0,3,0.0,0,14,1,1,0,3,0,0,1,1,1
5,4,853.92034068,42155.561122,68,0,3,0.0,0,14,1,1,0,3,0,0,1,1,1
5,4,853.92034068,47560.12024,68,0,3,0.0,0,14,1,1,0,3,0,0,1,1,1
5,4,0.0,0.0,74,0,3,0.0,0,12,2,2,0,3,0,0,0,0,1
5,4,0.0,0.0,74,0,3,0.0,0,12,2,2,0,3,0,0,0,0,1
5,4,0.0,0.0,74,0,3,0.0,0,12,2,2,0,3,0,0,0,0,1
5,4,0.0,0.0,74,0,3,0.0,0,12,2,2,0,3,0,0,0,0,1
5,4,0.0,0.0,74,0,3,0.0,0,12,2,2,0,3,0,0,0,0,1
1,2,0.0,0.0,19,0,3,57288.326653,0,8,2,1,0,1,0,0,0,0,0
1,2,0.0,0.0,19,0,3,57288.326653,0,8,2,1,0,1,0,0,0,0,0
1,2,0.0,0.0,19,0,3,60531.062124,0,8,2,1,0,1,0,0,0,0,0
1,2,0.0,0.0,19,0,3,67016.533066,0,8,2,1,0,1,0,0,0,0,0
1,2,0.0,0.0,19,0,3,60531.062124,0,8,2,1,0,1,0,0,0,0,0
5,4,-1.080911824,101605.71142,74,0,1,0.0,0,12,1,1,0,3,0,0,0,1,1
5,4,-1.080911824,97282.064128,74,0,1,0.0,0,12,1,1,0,3,0,0,0,1,1
5,4,-1.080911824,107010.27054,74,0,1,0.0,0,12,1,1,0,3,0,0,0,1,1
5,4,-1.080911824,90796.593186,74,0,1,0.0,0,12,1,1,0,3,0,0,1,1,1
5,4,-1.080911824,97282.064128,74,0,1,0.0,0,12,1,1,0,3,0,0,1,1,1
3,4,4064228.4569,8106838.6774,52,0,3,1026866.2325,0,13,1,1,1,2,0,0,1,1,1
3,4,4075037.5752,8647294.5892,52,0,3,1080911.8236,0,13,1,1,1,2,0,0,1,1,1
3,4,4064228.4569,8106838.6774,52,0,3,969577.90581,0,13,1,1,1,2,0,0,1,1,1
3,4,4518211.4228,8647294.5892,52,0,3,1091720.9419,0,13,1,1,1,2,0,0,1,1,1
3,4,4075037.5752,8128456.9138,52,0,3,1064698.1463,0,13,1,1,1,2,0,0,1,1,1
4,4,0.0,0.0,60,0,3,0.0,0,12,2,2,0,3,0,0,0,0,0
4,4,0.0,0.0,60,0,3,0.0,0,12,2,2,0,3,0,0,0,0,0
4,4,0.0,0.0,60,0,3,0.0,0,12,2,2,0,3,0,0,0,0,0
4,4,0.0,0.0,60,0,3,0.0,0,12,2,2,0,3,0,0,0,0,0
4,4,0.0,0.0,60,0,3,0.0,0,12,2,2,0,3,0,0,0,0,0
2,4,432364.72946,0.0,43,1,3,237800.6012,0,12,1,1,2,2,0,0,0,1,0
2,4,432364.72946,0.0,43,1,3,237800.6012,0,12,1,1,2,2,0,0,0,1,0
2,4,432364.72946,0.0,43,1,3,237800.6012,0,12,1,1,2,2,0,0,0,1,0
2,4,432364.72946,0.0,43,1,3,237800.6012,0,12,1,1,2,2,0,0,0,1,0
2,4,432364.72946,0.0,43,1,3,237800.6012,0,12,1,1,2,2,0,0,0,1,0
5,4,0.0,0.0,67,0,1,0.0,0,12,1,1,0,3,0,0,0,0,0
5,4,0.0,0.0,67,0,1,0.0,0,12,1,1,0,3,0,0,0,0,0
5,4,0.0,0.0,67,0,1,0.0,0,12,1,1,0,3,0,0,0,0,0
5,4,0.0,0.0,67,0,1,0.0,0,12,1,1,0,3,0,0,0,0,0
5,4,0.0,0.0,67,0,1,0.0,0,12,1,1,0,3,0,0,0,0,0
3,4,25941.883768,0.0,46,0,2,185916.83367,0,13,1,2,0,1,0,0,0,0,0
3,4,25941.883768,0.0,46,0,2,185916.83367,0,13,1,2,0,1,0,0,0,0,0
3,4,25941.883768,0.0,46,0,2,185916.83367,0,13,1,2,0,1,0,0,0,0,0
3,4,25941.883768,0.0,46,0,2,185916.83367,0,13,1,2,0,1,0,0,0,0,0
3,4,25941.883768,0.0,46,0,2,185916.83367,0,13,1,2,0,1,0,0,0,0,0
3,3,0.0,0.0,51,0,3,34589.178357,1,9,2,2,1,1,0,0,0,0,0
3,3,0.0,0.0,51,0,3,28103.707415,1,9,2,2,1,1,0,0,0,0,0
3,3,0.0,0.0,51,0,3,37831.913828,1,9,2,2,1,1,0,0,0,0,0
3,3,0.0,0.0,51,0,3,43236.472946,1,9,2,2,1,1,0,0,0,0,1
3,3,0.0,0.0,51,0,3,35670.09018,1,9,2,2,1,1,0,0,0,0,0
6,4,0.0,0.0,77,0,2,0.0,1,12,1,2,0,3,0,1,0,0,1
6,4,0.0,0.0,77,0,2,0.0,1,12,1,2,0,3,0,1,0,0,1
6,4,0.0,0.0,77,0,2,0.0,1,12,1,2,0,3,0,1,0,0,1
6,4,0.0,0.0,77,0,2,0.0,1,12,1,2,0,3,0,1,0,0,1
6,4,0.0,0.0,77,0,2,0.0,1,12,1,2,0,3,0,1,0,0,1
4,2,0.0,0.0,57,0,3,48641.032064,1,8,2,2,2,1,0,0,0,0,0
4,2,0.0,0.0,57,0,3,48641.032064,1,8,2,2,2,1,0,0,0,0,0
4,2,0.0,0.0,57,0,3,48641.032064,1,8,2,2,2,1,0,0,0,0,0
4,2,0.0,0.0,57,0,3,48641.032064,1,8,2,2,2,1,0,0,0,0,0
4,2,0.0,0.0,57,0,3,48641.032064,1,8,2,2,2,1,0,0,0,0,0
1,4,0.0,0.0,30,0,3,113495.74148,0,13,2,1,0,1,0,0,0,0,1
1,4,0.0,0.0,30,0,3,116738.47695,0,13,2,1,0,1,0,0,0,0,1
1,4,0.0,0.0,30,0,3,119981.21242,0,13,2,1,0,1,0,0,0,0,1
1,4,0.0,0.0,30,0,3,108091.18236,0,13,2,1,0,1,0,0,0,0,1
1,4,0.0,0.0,30,0,3,119981.21242,0,13,2,1,0,1,0,0,0,0,1
4,2,0.0,0.0,56,0,2,52964.679359,1,8,1,1,1,1,0,0,0,0,0
4,2,0.0,0.0,56,0,2,47560.12024,1,8,1,1,1,1,0,0,0,0,0
4,3,0.0,0.0,56,0,2,39993.737475,1,10,1,1,1,1,0,0,0,0,0
4,2,0.0,0.0,56,0,2,48641.032064,1,8,1,1,1,1,0,0,0,0,0
4,2,0.0,0.0,56,0,2,29184.619238,1,8,1,1,1,1,0,0,0,0,0
5,1,0.0,0.0,70,0,1,0.0,1,4,1,1,0,3,0,0,0,0,0
5,1,0.0,0.0,70,0,1,0.0,1,4,1,1,0,3,0,0,0,0,0
5,1,0.0,0.0,70,0,1,0.0,1,4,1,1,0,3,0,0,0,0,0
5,1,0.0,0.0,70,0,1,0.0,1,4,1,1,0,3,0,0,0,0,0
5,1,0.0,0.0,70,0,1,0.0,1,4,1,1,0,3,0,0,0,0,0
4,2,0.0,0.0,57,0,3,64854.709419,1,8,1,1,0,3,0,1,0,0,1
4,2,0.0,0.0,57,0,3,64854.709419,1,8,1,1,0,3,0,1,0,0,1
4,2,0.0,0.0,57,0,3,64854.709419,1,8,1,1,0,3,0,1,0,0,1
4,2,0.0,0.0,57,0,3,64854.709419,1,8,1,1,0,3,0,1,0,0,1
4,2,0.0,0.0,57,0,3,64854.709419,1,8,1,1,0,3,0,1,0,0,1
1,4,0.0,0.0,32,0,3,43236.472946,0,12,2,2,0,2,0,0,0,0,0
1,4,0.0,0.0,32,0,3,43236.472946,0,12,2,2,0,2,0,0,0,0,0
1,4,0.0,0.0,32,0,3,43236.472946,0,12,2,2,0,2,0,0,0,0,0
1,4,0.0,0.0,32,0,3,43236.472946,0,12,2,2,0,2,0,0,0,0,0
1,4,0.0,0.0,32,0,3,43236.472946,0,12,2,2,0,2,0,0,0,0,0
3,4,0.0,0.0,46,1,1,86472.945892,0,13,2,2,0,1,0,0,0,0,0
3,4,0.0,0.0,46,1,1,86472.945892,0,13,2,2,0,1,0,0,0,0,0
3,4,0.0,0.0,46,1,1,86472.945892,0,13,2,2,0,1,0,0,0,0,0
3,4,0.0,0.0,46,1,1,86472.945892,0,13,2,2,0,1,0,0,0,0,0
3,4,0.0,0.0,46,1,1,86472.945892,0,13,2,2,0,1,0,0,0,0,0
6,4,1134957.4148,108091.18236,75,0,3,0.0,0,12,1,1,0,2,0,0,0,1,1
6,4,1080911.8236,108091.18236,75,0,3,0.0,0,12,1,1,0,2,0,0,0,1,1
6,4,1134957.4148,108091.18236,75,0,3,0.0,0,12,1,1,0,2,0,0,0,1,1
6,4,1080911.8236,108091.18236,75,0,3,0.0,0,12,1,1,0,2,0,0,0,1,1
6,4,1167384.7695,108091.18236,75,0,3,0.0,0,12,1,1,0,2,0,0,0,1,1
3,4,0.0,12970.941884,52,0,3,291846.19238,0,12,1,1,2,1,1,1,0,1,1
3,4,0.0,12970.941884,52,0,3,291846.19238,0,12,1,1,2,1,1,1,0,1,1
3,4,0.0,12970.941884,52,0,3,291846.19238,0,12,1,1,2,1,1,1,0,1,1
3,4,0.0,12970.941884,52,0,3,291846.19238,0,12,1,1,2,1,1,1,0,1,1
3,4,0.0,12970.941884,52,0,3,291846.19238,0,12,1,1,2,1,1,1,0,1,1
4,3,0.0,0.0,62,0,1,0.0,1,10,1,1,0,3,0,0,0,0,0
4,3,0.0,0.0,62,0,1,0.0,1,10,1,1,0,3,0,0,0,0,0
4,3,0.0,0.0,62,0,1,0.0,1,10,1,1,0,3,0,0,0,0,0
4,3,0.0,0.0,62,0,1,0.0,1,10,1,1,0,3,0,0,0,0,0
4,3,0.0,0.0,62,0,1,0.0,1,10,1,1,0,3,0,0,0,0,0
4,4,0.0,0.0,63,0,3,324273.54709,0,14,1,1,0,1,0,0,1,1,1
4,4,0.0,0.0,63,0,3,324273.54709,0,14,1,1,0,1,0,0,1,1,1
4,4,0.0,0.0,63,0,3,324273.54709,0,14,1,1,0,1,0,0,1,1,1
4,4,0.0,0.0,63,0,3,324273.54709,0,14,1,1,0,1,0,0,1,1,1
4,4,0.0,0.0,63,0,3,324273.54709,0,14,1,1,0,1,0,0,1,1,1
4,4,2248296.5932,117819.38878,57,0,3,0.0,0,12,1,1,0,2,1,0,0,1,1
4,4,2334769.5391,486410.32064,57,0,3,0.0,0,12,1,1,0,2,1,0,0,1,1
4,4,1361948.8978,579368.73747,57,0,3,0.0,0,12,1,1,0,2,1,0,0,1,1
4,4,2486097.1944,171864.97996,57,0,3,0.0,0,12,1,1,0,2,1,0,0,1,1
4,4,2464478.9579,1080911.8236,57,0,3,0.0,0,12,1,1,0,2,1,0,0,1,1
2,2,0.0,0.0,41,0,1,42155.561122,1,8,2,2,3,1,0,0,0,0,1
2,2,0.0,0.0,41,0,1,42155.561122,1,8,2,2,3,1,0,0,0,0,1
2,2,0.0,0.0,41,0,1,42155.561122,1,8,2,2,3,1,0,0,0,0,1
2,2,0.0,0.0,41,0,1,42155.561122,1,8,2,2,3,1,0,0,0,0,1
2,2,0.0,0.0,41,0,1,42155.561122,1,8,2,2,3,1,0,0,0,0,1
1,3,0.0,0.0,19,0,2,0.0,1,9,1,2,0,4,0,0,0,0,0
1,3,0.0,0.0,19,0,2,0.0,1,9,1,2,0,4,0,0,0,0,0
1,3,0.0,0.0,19,0,2,0.0,1,9,1,2,0,4,0,0,0,0,0
1,3,0.0,0.0,19,0,2,0.0,1,9,1,2,0,4,0,0,0,0,0
1,3,0.0,0.0,19,0,2,0.0,1,9,1,2,0,4,0,0,0,0,0
3,2,0.0,0.0,51,0,3,51883.767535,1,8,1,1,1,1,0,0,0,0,0
3,2,0.0,0.0,51,0,3,36751.002004,1,8,1,1,1,1,0,0,0,0,0
3,2,0.0,0.0,51,0,3,35670.09018,1,8,1,1,1,1,0,0,0,0,0
3,2,0.0,0.0,51,0,3,34589.178357,1,8,1,1,1,1,0,0,0,0,0
3,2,0.0,0.0,51,0,3,28103.707415,1,8,1,1,1,1,0,0,0,0,0
4,3,0.0,0.0,62,0,1,43236.472946,0,11,2,2,0,1,0,0,0,0,0
4,3,0.0,0.0,62,0,1,43236.472946,0,11,2,2,0,1,0,0,0,0,0
4,3,0.0,0.0,62,0,1,43236.472946,0,11,2,2,0,1,0,0,0,0,0
4,3,0.0,0.0,62,0,1,43236.472946,0,11,2,2,0,1,0,0,0,0,0
4,3,0.0,0.0,62,0,1,43236.472946,0,11,2,2,0,1,0,0,0,0,0
5,4,39993.737475,205.37324649,68,0,3,32.427354709,0,12,1,1,0,3,0,0,0,1,1
5,4,39993.737475,205.37324649,68,0,3,21.618236473,0,12,1,1,0,3,0,0,0,1,1
5,4,39993.737475,194.56412826,68,0,3,32.427354709,0,12,1,1,0,3,0,0,0,1,1
5,4,39993.737475,205.37324649,68,0,3,32.427354709,0,12,1,1,0,3,0,0,0,1,1
5,4,39993.737475,194.56412826,68,0,3,21.618236473,0,12,1,1,0,3,0,0,0,1,1
1,3,2269.9148297,0.0,23,1,3,41074.649299,0,9,1,2,0,1,0,0,0,0,0
1,3,2269.9148297,0.0,23,1,3,41074.649299,0,9,1,2,0,1,0,0,0,0,0
1,3,19456.412826,0.0,23,1,3,41074.649299,0,9,1,2,0,1,0,0,0,0,0
1,3,3783.1913828,0.0,23,1,3,41074.649299,0,9,1,2,0,1,0,0,0,0,0
1,3,4972.1943888,0.0,23,1,3,41074.649299,0,9,1,2,0,1,0,0,0,0,0
3,2,0.0,0.0,52,0,3,324273.54709,0,8,1,1,0,1,0,0,0,0,1
3,2,0.0,0.0,52,0,3,324273.54709,0,8,1,1,0,1,0,0,0,0,1
3,2,0.0,0.0,52,0,3,324273.54709,0,8,1,1,0,1,0,0,0,0,1
3,2,0.0,0.0,52,0,3,324273.54709,0,8,1,1,0,1,0,0,0,0,1
3,2,0.0,0.0,52,0,3,324273.54709,0,8,1,1,0,1,0,0,0,0,1
2,3,0.0,0.0,42,0,3,70259.268537,0,11,2,2,1,1,0,0,0,0,1
2,3,0.0,0.0,42,0,3,58369.238477,0,11,2,2,1,1,0,0,0,0,1
2,3,0.0,0.0,42,0,3,71340.180361,0,11,2,2,1,1,0,0,0,0,1
2,3,0.0,0.0,42,0,3,56207.41483,0,11,2,2,1,1,0,0,0,0,1
2,3,0.0,0.0,42,0,3,68097.44489,0,11,2,2,1,1,0,0,0,0,1
2,4,0.0,112414.82966,42,0,3,583692.38477,0,12,1,1,2,1,0,0,0,0,1
2,4,0.0,150246.74349,42,0,3,732858.21643,0,12,1,1,2,1,0,0,0,0,1
2,4,0.0,162136.77355,42,0,3,626928.85772,0,12,1,1,2,1,0,0,0,0,1
2,4,0.0,110253.00601,42,0,3,805279.30862,0,12,1,1,2,1,0,0,0,0,1
2,4,0.0,156732.21443,42,0,3,594501.50301,0,12,1,1,2,1,0,0,0,0,1
3,4,0.0,0.0,50,0,2,54045.591182,1,12,1,2,0,1,0,0,0,0,0
3,4,0.0,0.0,50,0,2,54045.591182,1,12,1,2,0,1,0,0,0,0,0
3,4,0.0,0.0,50,0,2,54045.591182,1,12,1,2,0,1,0,0,0,0,0
3,4,0.0,0.0,50,0,2,54045.591182,1,12,1,2,0,1,0,0,0,0,0
3,4,0.0,0.0,50,0,2,54045.591182,1,12,1,2,0,1,0,0,0,0,0
3,1,0.0,0.0,49,0,1,36751.002004,0,3,1,1,0,2,0,0,0,0,0
